,COUNTRY,ST_/_PROV,CITY,STREET_ADDRESS,POSTAL_CODE,STRUCTURE_CATEGORY,ON-NET_TYPE,BUILDING_NAME,ZAYO_BUILDING_CODE,CLLI_CODE,LATA,NPA,NXX,LATITUDE,LONGITUDE,MARKET,geometry,LAT_LON
7206,USA,GA,Atlanta,3525 Piedmont Rd NE,30305,Enterprise Location,Fiber Only,135637.0,GA-352,ATLBGA61,438,,,33.8514034,-84.377017,Atlanta,POINT (-84.377017 33.8514034),33.8514034-84.377017
7571,USA,GA,Atlanta,3525 Piedmont Rd NE Bldg 7,30305,Enterprise Location,Fiber Only,115627.0,GA-7PC,ATLNGAXD,438,,,33.8514034,-84.377017,Atlanta,POINT (-84.377017 33.8514034),33.8514034-84.377017
40115,USA,CO,Littleton,7750 S Broadway,80122,Enterprise Location,Stubbed,517568.0,,LTTOCODL,656,,,39.576158,-104.988434,Denver,POINT (-104.988434 39.576158),39.576158-104.988434
40116,USA,CO,Littleton,7780 S Broadway,80122,Enterprise Location,Stubbed,517569.0,,LTTNCOVF,656,,,39.576158,-104.988434,Denver,POINT (-104.988434 39.576158),39.576158-104.988434
33766,USA,IN,Muncie,1606 N Elizabeth Ave,47304,Cell Site - Unknown,Restricted,507407.0,,,336,,,40.207132,-85.415078,Muncie,POINT (-85.41507799999999 40.207132),40.207132-85.415078
34859,USA,IN,Muncie,2498 W EUCLID AVE,47304,Small Cell - Stand Alone,Restricted,479391.0,,MUNDIN72,336,,,40.207132,-85.415078,Muncie,POINT (-85.41507799999999 40.207132),40.207132-85.415078
33764,USA,IN,Lafayette,310 Farabee Dr,47905,Cell Site - Unknown,Restricted,507423.0,,,336,,,40.413154,-86.852121,Lafayette IN,POINT (-86.852121 40.413154),40.413154-86.852121
34536,USA,IN,Lafayette,302 Farabee Drive,47905,Small Cell - Stand Alone,Restricted,479370.0,,,336,,,40.413154,-86.852121,Lafayette IN,POINT (-86.852121 40.413154),40.413154-86.852121
24018,USA,IL,Chicago,N Water St & N Michigan Ave,60603,Small Cell - Unknown,Restricted,128677.0,,,358,,,41.8868181,-87.6244567,Chicago,POINT (-87.6244567 41.8868181),41.8868181-87.6244567
24895,USA,IL,Chicago,S Water St & N Michigan Ave,60603,Small Cell - Unknown,Restricted,128678.0,,,358,,,41.8868181,-87.6244567,Chicago,POINT (-87.6244567 41.8868181),41.8868181-87.6244567
1606,CANADA,ON,Toronto,360 Adelaide St W,M5V 1R7,Enterprise Location,Fiber Only,420709.0,,TORVONFJ,888,,,43.647383,-79.393928,Toronto ON,POINT (-79.393928 43.647383),43.647383-79.393928
